FLOW_IN_FINAL;FLOW_OUT_FINAL;COLUMN_COND_1;COND_1;COLUMN_COND_2;COND_2;EXACT_1;EXACT_2;TYPE;FILE;DF
Woodchips;Power grid;FFF;WOODCHIPS;COMMODITY;ELECTRICITY;Yes;Yes;Elec;BAL;PRO_YCRAGF
Power grid;P2H;TECH_TYPE;ELECT-TO-HEAT;;;Yes;;Elec;BAL;F_CONS_YCRA
Power grid;Electrolysis;TECH_TYPE;ELECTROLYZER;;;Yes;;Elec;BAL;F_CONS_YCRA
Power grid;Electricity Consumption;VARIABLE_CATEGORY;EXOGENOUS;;;Yes;;Elec;BAL;EL_DEMAND_YCR
MSW;DH grid;FFF;MUNIWASTE;COMMODITY;HEAT;Yes;Yes;DH;BAL;PRO_YCRAGF
Woodchips;DH grid;FFF;WOODCHIPS;COMMODITY;HEAT;Yes;Yes;DH;BAL;PRO_YCRAGF
Excess Heat;DH grid;G;GNR_EH_HEAT;;;Yes;;DH;BAL;PRO_YCRAGF
Biogas Upgrade;DH grid;IPROCFROM;BiogasUpgr_BMETH;IPROCTO;Heat_Opti_to_Bal_Conv;No;Yes;DH;OPTI;VFLOW_Opti_C
Thermal Gasification;DH grid;IPROCFROM;TG_MW;IPROCTO;Heat_Opti_to_Bal_Conv;No;Yes;DH;OPTI;VFLOW_Opti_C
Thermal Gasification;DH grid;IPROCFROM;TG_ST;IPROCTO;Heat_Opti_to_Bal_Conv;No;Yes;DH;OPTI;VFLOW_Opti_C
Thermal Gasification;DH grid;IPROCFROM;TG_WO;IPROCTO;Heat_Opti_to_Bal_Conv;No;Yes;DH;OPTI;VFLOW_Opti_C
Thermal Gasification;DH grid;IPROCFROM;TG_WP;IPROCTO;Heat_Opti_to_Bal_Conv;No;Yes;DH;OPTI;VFLOW_Opti_C
BioJet Synthesis;DH grid;IPROCFROM;BioJet_ST;IPROCTO;Heat_Opti_to_Bal_Conv;No;Yes;DH;OPTI;VFLOW_Opti_C
BioJet Synthesis;DH grid;IPROCFROM;BioJet_WO;IPROCTO;Heat_Opti_to_Bal_Conv;No;Yes;DH;OPTI;VFLOW_Opti_C
BioJet Synthesis;DH grid;IPROCFROM;BioJet_WP;IPROCTO;Heat_Opti_to_Bal_Conv;No;Yes;DH;OPTI;VFLOW_Opti_C
BioJet H2 Synthesis;DH grid;IPROCFROM;BioJet_ST_H2;IPROCTO;Heat_Opti_to_Bal_Conv;No;Yes;DH;OPTI;VFLOW_Opti_C
BioJet H2 Synthesis;DH grid;IPROCFROM;BioJet_WO_H2;IPROCTO;Heat_Opti_to_Bal_Conv;No;Yes;DH;OPTI;VFLOW_Opti_C
BioJet H2 Synthesis;DH grid;IPROCFROM;BioJet_WP_H2;IPROCTO;Heat_Opti_to_Bal_Conv;No;Yes;DH;OPTI;VFLOW_Opti_C
Methanisation;DH grid;IPROCFROM;Methanisation_Bio_Biogas;IPROCTO;Heat_Opti_to_Bal_Conv;No;Yes;DH;OPTI;VFLOW_Opti_C
Methane Synthesis;DH grid;IPROCFROM;Methane_synthesis_TG;IPROCTO;Heat_Opti_to_Bal_Conv;No;Yes;DH;OPTI;VFLOW_Opti_C
Methanol Synthesis;DH grid;IPROCFROM;Methanol_synthesis_TG;IPROCTO;Heat_Opti_to_Bal_Conv;No;Yes;DH;OPTI;VFLOW_Opti_C
EMethanol Synthesis;DH grid;IPROCFROM;EMethanol_synthesis;IPROCTO;Heat_Opti_to_Bal_Conv;No;Yes;DH;OPTI;VFLOW_Opti_C
P2H;DH grid;TECH_TYPE;ELECT-TO-HEAT;;;Yes;;DH;BAL;PRO_YCRAGF
DH grid;DH Consumption;VARIABLE_CATEGORY;EXOGENOUS;;;Yes;;DH;BAL;H_DEMAND_YCRA
